id,name,neighbourhood_cleansed,room_type,price,minimum_nights,number_of_reviews,review_scores_rating,latitude,longitude,availability_365,calculated_host_listings_count
35797,Villa,Cuajimalpa de Morelos,Private room,10412.0,1.0,0,4.84,19.38283,-99.27178,363,1
70644,Beautiful light Studio Coyoacan- full equipped !,Coyoacán,Entire home/apt,2317.67,3.0,142,4.91,19.35448,-99.16217,247,1
245507,Reforma Ave area / US Embassy / walk everywhere,Cuauhtémoc,Entire home/apt,1642.0,1.0,415,4.85,19.4236,-99.16979,222,4
247543,"Independent studio, top location",Cuauhtémoc,Entire home/apt,1107.0,3.0,174,4.91,19.43516,-99.13806,138,2
261897,Charming 1 bedroom loft w/ balcony in Roma/condesa,Cuauhtémoc,Entire home/apt,2847.2,5.0,363,4.77,19.41877,-99.17199,167,1
287940,Furnished lovely cozy studio,Cuauhtémoc,Entire home/apt,832.0,1.0,461,4.59,19.41236,-99.17533,345,13
326296,WONDERFUL ROOM IN COYOACAN HOUSE,Coyoacán,Private room,975.67,3.0,240,4.81,19.34034,-99.18345,183,2
362583,Spacious Modern Apt. with Parking Near Reforma Ave,Cuauhtémoc,Entire home/apt,1870.67,3.0,52,4.88,19.43165,-99.17132,258,1
375032,Hermosa Casa en Condesa - 6 Habitaciones,Cuauhtémoc,Private room,15000.0,1.0,53,4.7,19.4075,-99.17561,351,10
386265,"Room colonial, green, Coyoacán (Women only)",Coyoacán,Private room,433.0,4.0,23,4.7,19.3424,-99.15419,213,1
419110,Comfy clean Roøm @Cozy apartment,Cuauhtémoc,Private room,720.67,3.0,49,4.84,19.41017,-99.17886,88,1
454693,Condesa: Ideal for Tourism and Remote Work,Cuauhtémoc,Entire home/apt,2805.55,1.0,293,4.9,19.40835638269101,-99.17329884322169,56,1
67703,"2 bedroom apt. deco bldg, Condesa",Cuauhtémoc,Entire home/apt,2182.33,3.0,53,4.9,19.41152,-99.16857,336,1
165772,BEST 5 Bedroom HOUSE IN S. Miguel Chapultepec,Miguel Hidalgo,Entire home/apt,5064.0,2.0,398,4.88,19.40826,-99.18659,212,3
171109,Cool room near WTC and Metrobus,Benito Juárez,Private room,499.27,4.0,127,4.85,19.39675,-99.17581,331,4
204887,"Traditional neighborhood: Escandón, Condesa & Roma",Cuauhtémoc,Entire home/apt,1141.33,3.0,32,4.65,19.4059,-99.17548,343,1
246057,The best location! Reforma/Zona Rosa/Roma!,Cuauhtémoc,Entire home/apt,1883.0,1.0,313,4.86,19.42335,-99.16963,274,4
256555,GREAT HOUSE IN S MIGUEL CHAPULTEPEC,Miguel Hidalgo,Entire home/apt,4825.5,2.0,324,4.91,19.40663,-99.18653,212,3
271048,Great location in Mexico City,Miguel Hidalgo,Entire home/apt,1835.2,5.0,14,4.93,19.42485,-99.17797,362,1
331030,"Rento Recámara, Baño privado, Coyoacán Conchita",Coyoacán,Private room,1484.0,2.0,0,4.84,19.34549,-99.15872,364,1
868986,Business Suite BLUE near Reforma Av,Cuauhtémoc,Entire home/apt,1250.0,2.0,34,4.94,19.4306,-99.17074,289,4
869063,Business Suite BLACK near Reforma,Cuauhtémoc,Hotel room,1589.0,2.0,49,4.92,19.43052,-99.17003,309,4
883511,Cozy House with Roofterrace group 29 pax Center DF,Cuauhtémoc,Entire home/apt,3714.87,1.0,291,4.79,19.44207,-99.14797,251,6
